"REF_DATE","GEO","VALUE"
"1957-07","Prince Edward Island","99000"
"1957-07","Nova Scotia","701000"
"1957-07","New Brunswick","563000"
"1957-07","Quebec","4786000"
"1957-07","Ontario","5668000"
"1957-07","Manitoba","863000"
"1957-07","Saskatchewan","882000"
"1957-07","Alberta","1169000"
"1957-07","British Columbia","1490000"
"1957-07","Yukon","12000"
"1957-07","Northwest Territories including Nunavut","19000"
"1957-10","Canada","16810000"
"1957-10","Newfoundland and Labrador","427000"
"1957-10","Prince Edward Island","99000"
"1957-10","Nova Scotia","702000"
"1957-10","New Brunswick","565000"
"1957-10","Quebec","4825000"
"1957-10","Ontario","5722000"
"1957-10","Manitoba","863000"
"1957-10","Saskatchewan","884000"
"1957-10","Alberta","1179000"
"1957-10","British Columbia","1511000"
"1957-10","Yukon","13000"
"1957-10","Northwest Territories including Nunavut","20000"
"1958-01","Canada","16907000"
"1958-01","Newfoundland and Labrador","428000"
"1958-01","Prince Edward Island","99000"
"1958-01","Nova Scotia","705000"
"1958-01","New Brunswick","567000"
"1958-01","Quebec","4849000"
"1958-01","Ontario","5759000"
"1958-01","Manitoba","868000"
"1958-01","Saskatchewan","884000"
"1958-01","Alberta","1191000"
"1958-01","British Columbia","1524000"
"1958-01","Yukon","13000"
"1958-01","Northwest Territories including Nunavut","20000"
"1958-04","Canada","16997000"
"1958-04","Newfoundland and Labrador","430000"
"1958-04","Prince Edward Island","100000"
"1958-04","Nova Scotia","707000"
"1958-04","New Brunswick","569000"
"1958-04","Quebec","4879000"
"1958-04","Ontario","5789000"
"1958-04","Manitoba","872000"
"1958-04","Saskatchewan","888000"
"1958-04","Alberta","1198000"
"1958-04","British Columbia","1532000"
"1958-04","Yukon","13000"
"1958-04","Northwest Territories including Nunavut","20000"
"1958-07","Canada","17120000"
"1958-07","Newfoundland and Labrador","433000"
"1958-07","Prince Edward Island","100000"
"1958-07","Nova Scotia","710000"
"1958-07","New Brunswick","572000"
"1958-07","Quebec","4915000"
"1958-07","Ontario","5835000"
"1958-07","Manitoba","877000"
"1958-07","Saskatchewan","894000"
"1958-07","Alberta","1211000"
"1958-07","British Columbia","1540000"
"1958-07","Yukon","13000"
"1958-07","Northwest Territories including Nunavut","20000"
"1958-10","Canada","17225000"
"1958-10","Newfoundland and Labrador","435000"
"1958-10","Prince Edward Island","101000"
"1958-10","Nova Scotia","713000"
"1958-10","New Brunswick","574000"
"1958-10","Quebec","4947000"
"1958-10","Ontario","5874000"
"1958-10","Manitoba","881000"
"1958-10","Saskatchewan","898000"
"1958-10","Alberta","1221000"
"1958-10","British Columbia","1548000"
"1958-10","Yukon","13000"
"1958-10","Northwest Territories including Nunavut","20000"
"1959-01","Canada","17318000"
"1959-01","Newfoundland and Labrador","437000"
"1959-01","Prince Edward Island","101000"
"1959-01","Nova Scotia","716000"
"1959-01","New Brunswick","577000"
"1959-01","Quebec","4974000"
"1959-01","Ontario","5907000"
"1959-01","Manitoba","883000"
"1959-01","Saskatchewan","900000"
"1959-01","Alberta","1233000"
"1959-01","British Columbia","1556000"
"1959-01","Yukon","13000"
"1959-01","Northwest Territories including Nunavut","21000"
"1959-04","Canada","17406000"
"1959-04","Newfoundland and Labrador","439000"
"1959-04","Prince Edward Island","101000"
"1959-04","Nova Scotia","718000"
"1959-04","New Brunswick","580000"
"1959-04","Quebec","5002000"
"1959-04","Ontario","5938000"
"1959-04","Manitoba","888000"
"1959-04","Saskatchewan","903000"
"1959-04","Alberta","1241000"
"1959-04","British Columbia","1562000"
"1959-04","Yukon","13000"
"1959-04","Northwest Territories including Nunavut","21000"
"1959-07","Canada","17522000"
"1959-07","Newfoundland and Labrador","441000"
"1959-07","Prince Edward Island","102000"
"1959-07","Nova Scotia","720000"
"1959-07","New Brunswick","583000"
"1959-07","Quebec","5035000"
"1959-07","Ontario","5985000"
"1959-07","Manitoba","892000"
"1959-07","Saskatchewan","908000"
"1959-07","Alberta","1252000"
"1959-07","British Columbia","1570000"
"1959-07","Yukon","13000"
"1959-07","Northwest Territories including Nunavut","21000"
"1959-10","Canada","17624000"
"1959-10","Newfoundland and Labrador","443000"
"1959-10","Prince Edward Island","102000"
"1959-10","Nova Scotia","722000"
"1959-10","New Brunswick","584000"
"1959-10","Quebec","5068000"
"1959-10","Ontario","6020000"
"1959-10","Manitoba","896000"
"1959-10","Saskatchewan","912000"
"1959-10","Alberta","1263000"
"1959-10","British Columbia","1580000"
"1959-10","Yukon","13000"
"1959-10","Northwest Territories including Nunavut","21000"
"1960-01","Canada","17710000"
"1960-01","Newfoundland and Labrador","445000"
"1960-01","Prince Edward Island","103000"
"1960-01","Nova Scotia","722000"
"1960-01","New Brunswick","585000"
"1960-01","Quebec","5092000"
"1960-01","Ontario","6054000"
"1960-01","Manitoba","900000"
"1960-01","Saskatchewan","911000"
"1960-01","Alberta","1274000"
"1960-01","British Columbia","1589000"
"1960-01","Yukon","14000"
"1960-01","Northwest Territories including Nunavut","21000"
"1960-04","Canada","17793000"
"1960-04","Newfoundland and Labrador","447000"
"1960-04","Prince Edward Island","103000"
"1960-04","Nova Scotia","725000"
"1960-04","New Brunswick","587000"
"1960-04","Quebec","5119000"
"1960-04","Ontario","6083000"
"1960-04","Manitoba","903000"
"1960-04","Saskatchewan","912000"
"1960-04","Alberta","1282000"
"1960-04","British Columbia","1596000"
"1960-04","Yukon","14000"
"1960-04","Northwest Territories including Nunavut","22000"
"1960-07","Canada","17909000"
"1960-07","Newfoundland and Labrador","449000"
"1960-07","Prince Edward Island","103000"
"1960-07","Nova Scotia","728000"
"1960-07","New Brunswick","589000"
"1960-07","Quebec","5152000"
"1960-07","Ontario","6127000"
"1960-07","Manitoba","908000"
"1960-07","Saskatchewan","916000"
"1960-07","Alberta","1296000"
"1960-07","British Columbia","1605000"
"1960-07","Yukon","14000"
