"REF_DATE","GEO","DGUID","Standard Classification of Goods (SCG)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1959-03","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","27444","","","t","0"
"1959-03","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21069","","","","0"
"1959-03","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","89537","","","t","0"
"1959-03","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1793","","","","0"
"1959-03","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2934","","","t","0"
"1959-03","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","26571","","","","0"
"1959-04","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","442","","","t","0"
"1959-04","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1658","","","","0"
"1959-04","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","125093","","","","0"
"1959-04","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","30331","","","","0"
"1959-04","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","26009","","","t","0"
"1959-04","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","20739","","","","0"
"1959-04","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","77735","","","t","0"
"1959-04","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2228","","","","0"
"1959-04","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","3090","","","t","0"
"1959-04","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24469","","","","0"
"1959-05","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","403","","","t","0"
"1959-05","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1346","","","","0"
