"Date","Good","Scale","Value"
"1997-11","Toluene","units ","24512"
"1997-11","Xylene","units ","25933"
"1997-11","Methyl alcohol (methanol)","units ",
"1997-11","Nitric acid, 100 %","units ","82243"
"1997-11","Aluminum sulphate (alum)","units ","12201"
"1997-11","Carbon black","units ","18228"
"1997-11","Hydrogen peroxide, 100%","units ","16009"
"1997-11","Zinc oxide","units ",
"1997-12","Hydrochloric (muriatic) acid, 100%","units ","13230"
"1997-12","Sulphuric acid, all grades, including oleum, as 100%","units ","395044"
"1997-12","Ammonia, anhydrous, 100%","units ","437717"
"1997-12","Ammonium nitrate, all grades","units ","87121"
"1997-12","Ammonium phosphate, all grades","units ",
"1997-12","Benzene","units ","69029"
"1997-12","Chlorine","units ","91638"
"1997-12","Ethylene","units ","280476"
"1997-12","Formaldehyde, 100% solids basis","units ","14981"
"1997-12","Sodium chlorate","units ","97069"
"1997-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","92966"
"1997-12","Polyethylene, total","units ","197540"
"1997-12","Polyethylene, low and linear low density","units ","126317"
"1997-12","Polyethylene, high density","units ","71223"
"1997-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","16622"
"1997-12","Polyvinyl chloride","units ","41465"
"1997-12","Polyesters, unsaturated","units ","5257"
"1997-12","Urea, all grades","units ","335226"
"1997-12","Phosphoric acid, wet process","units ",
"1997-12","Butadiene","units ","21755"
"1997-12","Butylene","units ","27721"
"1997-12","Propylene, as propylene in all grades","units ","79604"
"1997-12","Toluene","units ","13068"
"1997-12","Xylene","units ","27023"
"1997-12","Methyl alcohol (methanol)","units ",
"1997-12","Nitric acid, 100 %","units ","86426"
"1997-12","Aluminum sulphate (alum)","units ","13756"
"1997-12","Carbon black","units ","17687"
"1997-12","Hydrogen peroxide, 100%","units ","15689"
"1997-12","Zinc oxide","units ",
"1998-01","Hydrochloric (muriatic) acid, 100%","units ","11754"
"1998-01","Sulphuric acid, all grades, including oleum, as 100%","units ","377431"
"1998-01","Ammonia, anhydrous, 100%","units ","397647"
"1998-01","Ammonium nitrate, all grades","units ","84425"
"1998-01","Ammonium phosphate, all grades","units ",
"1998-01","Benzene","units ","75807"
"1998-01","Chlorine","units ","79668"
"1998-01","Ethylene","units ","287682"
"1998-01","Formaldehyde, 100% solids basis","units ","18647"
"1998-01","Sodium chlorate","units ","89060"
"1998-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","79874"
"1998-01","Polyethylene, total","units ","196009"
"1998-01","Polyethylene, low and linear low density","units ","126531"
"1998-01","Polyethylene, high density","units ","69478"
"1998-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15468"
"1998-01","Polyvinyl chloride","units ","47846"
"1998-01","Polyesters, unsaturated","units ","5228"
"1998-01","Urea, all grades","units ","311359"
"1998-01","Phosphoric acid, wet process","units ",
"1998-01","Butadiene","units ","18747"
"1998-01","Butylene","units ","25089"
"1998-01","Propylene, as propylene in all grades","units ","81725"
"1998-01","Toluene","units ","31039"
"1998-01","Xylene","units ","34969"
"1998-01","Methyl alcohol (methanol)","units ",
"1998-01","Nitric acid, 100 %","units ","75597"
"1998-01","Aluminum sulphate (alum)","units ","11260"
"1998-01","Carbon black","units ","17681"
"1998-01","Hydrogen peroxide, 100%","units ","14796"
"1998-01","Zinc oxide","units ",
"1998-02","Hydrochloric (muriatic) acid, 100%","units ","12910"
"1998-02","Sulphuric acid, all grades, including oleum, as 100%","units ","353243"
"1998-02","Ammonia, anhydrous, 100%","units ","369973"
"1998-02","Ammonium nitrate, all grades","units ","73099"
"1998-02","Ammonium phosphate, all grades","units ",
"1998-02","Benzene","units ","68291"
"1998-02","Chlorine","units ","84724"
"1998-02","Ethylene","units ","292717"
"1998-02","Formaldehyde, 100% solids basis","units ","18198"
"1998-02","Sodium chlorate","units ","82553"
"1998-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","84268"
"1998-02","Polyethylene, total","units ","180752"
"1998-02","Polyethylene, low and linear low density","units ","118207"
"1998-02","Polyethylene, high density","units ","62545"
"1998-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","11921"
"1998-02","Polyvinyl chloride","units ","41929"
"1998-02","Polyesters, unsaturated","units ","5921"
"1998-02","Urea, all grades","units ","304326"
"1998-02","Phosphoric acid, wet process","units ",
"1998-02","Butadiene","units ","19337"
"1998-02","Butylene","units ","24377"
"1998-02","Propylene, as propylene in all grades","units ","83819"
"1998-02","Toluene","units ","19517"
"1998-02","Xylene","units ","30590"
"1998-02","Methyl alcohol (methanol)","units ",
"1998-02","Nitric acid, 100 %","units ","67773"
"1998-02","Aluminum sulphate (alum)","units ","11401"
"1998-02","Carbon black","units ","16917"
"1998-02","Hydrogen peroxide, 100%","units ","15049"
"1998-02","Zinc oxide","units ",
"1998-03","Hydrochloric (muriatic) acid, 100%","units ","13754"
"1998-03","Sulphuric acid, all grades, including oleum, as 100%","units ","390938"
"1998-03","Ammonia, anhydrous, 100%","units ","419035"
"1998-03","Ammonium nitrate, all grades","units ","83924"
"1998-03","Ammonium phosphate, all grades","units ",
"1998-03","Benzene","units ","72195"
"1998-03","Chlorine","units ","87956"
"1998-03","Ethylene","units ","312713"
"1998-03","Formaldehyde, 100% solids basis","units ","21003"
"1998-03","Sodium chlorate","units ","78249"
"1998-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","88426"
"1998-03","Polyethylene, total","units ","205416"
"1998-03","Polyethylene, low and linear low density","units ","131842"
"1998-03","Polyethylene, high density","units ","73574"
"1998-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","16123"
"1998-03","Polyvinyl chloride","units ","45975"
"1998-03","Polyesters, unsaturated","units ","6767"
"1998-03","Urea, all grades","units ","316218"
"1998-03","Phosphoric acid, wet process","units ",
"1998-03","Butadiene","units ","21085"
"1998-03","Butylene","units ","27376"
"1998-03","Propylene, as propylene in all grades","units ","93099"
"1998-03","Toluene","units ","25150"
"1998-03","Xylene","units ","36795"
"1998-03","Methyl alcohol (methanol)","units ",
"1998-03","Nitric acid, 100 %","units ","77074"
"1998-03","Aluminum sulphate (alum)","units ","13841"
"1998-03","Carbon black","units ","20139"
"1998-03","Hydrogen peroxide, 100%","units ","16307"
"1998-03","Zinc oxide","units ",
"1998-04","Hydrochloric (muriatic) acid, 100%","units ","11957"
"1998-04","Sulphuric acid, all grades, including oleum, as 100%","units ","353336"
"1998-04","Ammonia, anhydrous, 100%","units ","416466"
"1998-04","Ammonium nitrate, all grades","units ","76033"
"1998-04","Ammonium phosphate, all grades","units ",
"1998-04","Benzene","units ","61778"
"1998-04","Chlorine","units ","83315"
"1998-04","Ethylene","units ","298034"
"1998-04","Formaldehyde, 100% solids basis","units ","19194"
"1998-04","Sodium chlorate","units ","78071"
"1998-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","88618"
"1998-04","Polyethylene, total","units ","188865"
"1998-04","Polyethylene, low and linear low density","units ","117201"
"1998-04","Polyethylene, high density","units ","71664"
"1998-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15620"
"1998-04","Polyvinyl chloride","units ","44545"
"1998-04","Polyesters, unsaturated","units ","6896"
"1998-04","Urea, all grades","units ","322612"
"1998-04","Phosphoric acid, wet process","units ",
"1998-04","Butadiene","units ","19582"
"1998-04","Butylene","units ","27559"
"1998-04","Propylene, as propylene in all grades","units ","91029"
"1998-04","Toluene","units ","12441"
"1998-04","Xylene","units ","21543"
"1998-04","Methyl alcohol (methanol)","units ",
"1998-04","Nitric acid, 100 %","units ","74942"
"1998-04","Aluminum sulphate (alum)","units ","14395"
"1998-04","Carbon black","units ","19036"
"1998-04","Hydrogen peroxide, 100%","units ","17029"
"1998-04","Zinc oxide","units ",
"1998-05","Hydrochloric (muriatic) acid, 100%","units ","12214"
"1998-05","Sulphuric acid, all grades, including oleum, as 100%","units ","376427"
"1998-05","Ammonia, anhydrous, 100%","units ","411271"
"1998-05","Ammonium nitrate, all grades","units ","88367"
"1998-05","Ammonium phosphate, all grades","units ",
"1998-05","Benzene","units ","45323"
"1998-05","Chlorine","units ","84741"
"1998-05","Ethylene","units ","271984"
"1998-05","Formaldehyde, 100% solids basis","units ","18687"
"1998-05","Sodium chlorate","units ","74252"
"1998-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","90341"
"1998-05","Polyethylene, total","units ","199629"
"1998-05","Polyethylene, low and linear low density","units ","119874"
"1998-05","Polyethylene, high density","units ","79755"
"1998-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","14688"
"1998-05","Polyvinyl chloride","units ","46486"
"1998-05","Polyesters, unsaturated","units ","6924"
"1998-05","Urea, all grades","units ","339678"
"1998-05","Phosphoric acid, wet process","units ",
"1998-05","Butadiene","units ","14793"
"1998-05","Butylene","units ","27571"
"1998-05","Propylene, as propylene in all grades","units ","84452"
"1998-05","Toluene","units ","18654"
"1998-05","Xylene","units ","22879"
"1998-05","Methyl alcohol (methanol)","units ",
"1998-05","Nitric acid, 100 %","units ","83187"
"1998-05","Aluminum sulphate (alum)","units ","14630"
"1998-05","Carbon black","units ","18995"
"1998-05","Hydrogen peroxide, 100%","units ","14760"
"1998-05","Zinc oxide","units ",
"1998-06","Hydrochloric (muriatic) acid, 100%","units ","12967"
"1998-06","Sulphuric acid, all grades, including oleum, as 100%","units ","294741"
"1998-06","Ammonia, anhydrous, 100%","units ","377233"
"1998-06","Ammonium nitrate, all grades","units ","91959"
"1998-06","Ammonium phosphate, all grades","units ",
"1998-06","Benzene","units ","57537"
"1998-06","Chlorine","units ","88489"
"1998-06","Ethylene","units ","271688"
"1998-06","Formaldehyde, 100% solids basis","units ","19497"
"1998-06","Sodium chlorate","units ","82726"
"1998-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","96027"
"1998-06","Polyethylene, total","units ","188371"
"1998-06","Polyethylene, low and linear low density","units ","119335"
"1998-06","Polyethylene, high density","units ","69036"
"1998-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","14683"
"1998-06","Polyvinyl chloride","units ","41882"
"1998-06","Polyesters, unsaturated","units ","7058"
"1998-06","Urea, all grades","units ","299900"
"1998-06","Phosphoric acid, wet process","units ",
"1998-06","Butadiene","units ","15951"
"1998-06","Butylene","units ","32626"
"1998-06","Propylene, as propylene in all grades","units ","80108"
"1998-06","Toluene","units ","18334"
"1998-06","Xylene","units ","27080"
"1998-06","Methyl alcohol (methanol)","units ",
"1998-06","Nitric acid, 100 %","units ","82386"
"1998-06","Aluminum sulphate (alum)","units ","15791"
"1998-06","Carbon black","units ","17962"
"1998-06","Hydrogen peroxide, 100%","units ","15558"
"1998-06","Zinc oxide","units ",
"1998-07","Hydrochloric (muriatic) acid, 100%","units ","11861"
"1998-07","Sulphuric acid, all grades, including oleum, as 100%","units ","333449"
"1998-07","Ammonia, anhydrous, 100%","units ","394631"
"1998-07","Ammonium nitrate, all grades","units ","85098"
"1998-07","Ammonium phosphate, all grades","units ",
"1998-07","Benzene","units ","60184"
"1998-07","Chlorine","units ","51408"
"1998-07","Ethylene","units ","257527"
"1998-07","Formaldehyde, 100% solids basis","units ","19307"
"1998-07","Sodium chlorate","units ","93364"
"1998-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","57395"
"1998-07","Polyethylene, total","units ","195940"
"1998-07","Polyethylene, low and linear low density","units ","117771"
"1998-07","Polyethylene, high density","units ","78169"
"1998-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","17848"
"1998-07","Polyvinyl chloride","units ","45732"
"1998-07","Polyesters, unsaturated","units ","6451"
"1998-07","Urea, all grades","units ","328450"
"1998-07","Phosphoric acid, wet process","units ",
"1998-07","Butadiene","units ","17621"
"1998-07","Butylene","units ","38400"
"1998-07","Propylene, as propylene in all grades","units ","88906"
"1998-07","Toluene","units ","18435"
"1998-07","Xylene","units ","24812"
"1998-07","Methyl alcohol (methanol)","units ",
"1998-07","Nitric acid, 100 %","units ","80686"
"1998-07","Aluminum sulphate (alum)","units ","19613"
"1998-07","Carbon black","units ","17260"
"1998-07","Hydrogen peroxide, 100%","units ","18664"
"1998-07","Zinc oxide","units ",
"1998-08","Hydrochloric (muriatic) acid, 100%","units ","9642"
"1998-08","Sulphuric acid, all grades, including oleum, as 100%","units ","352700"
"1998-08","Ammonia, anhydrous, 100%","units ","401143"
"1998-08","Ammonium nitrate, all grades","units ","68028"
"1998-08","Ammonium phosphate, all grades","units ",
"1998-08","Benzene","units ","54241"
"1998-08","Chlorine","units ","49511"
"1998-08","Ethylene","units ","266789"
"1998-08","Formaldehyde, 100% solids basis","units ","17956"
"1998-08","Sodium chlorate","units ","85944"
"1998-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","55897"
"1998-08","Polyethylene, total","units ","172934"
"1998-08","Polyethylene, low and linear low density","units ","107702"
"1998-08","Polyethylene, high density","units ","65232"
"1998-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15984"
"1998-08","Polyvinyl chloride","units ","43760"
"1998-08","Polyesters, unsaturated","units ","5806"
"1998-08","Urea, all grades","units ","321157"
"1998-08","Phosphoric acid, wet process","units ",
"1998-08","Butadiene","units ","18708"
"1998-08","Butylene","units ","34365"
"1998-08","Propylene, as propylene in all grades","units ","89180"
"1998-08","Toluene","units ","15880"
"1998-08","Xylene","units ","33481"
"1998-08","Methyl alcohol (methanol)","units ",
"1998-08","Nitric acid, 100 %","units ","64429"
"1998-08","Aluminum sulphate (alum)","units ","18797"
"1998-08","Carbon black","units ","17860"
"1998-08","Hydrogen peroxide, 100%","units ","18131"
"1998-08","Zinc oxide","units ",
"1998-09","Hydrochloric (muriatic) acid, 100%","units ","15934"
"1998-09","Sulphuric acid, all grades, including oleum, as 100%","units ","375375"
"1998-09","Ammonia, anhydrous, 100%","units ","372447"
"1998-09","Ammonium nitrate, all grades","units ","84973"
"1998-09","Ammonium phosphate, all grades","units ",
"1998-09","Benzene","units ","43655"
"1998-09","Chlorine","units ","137366"
"1998-09","Ethylene","units ","308533"
"1998-09","Formaldehyde, 100% solids basis","units ","19808"
"1998-09","Sodium chlorate","units ","84767"
"1998-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","130126"
"1998-09","Polyethylene, total","units ","174297"
"1998-09","Polyethylene, low and linear low density","units ","103379"
"1998-09","Polyethylene, high density","units ","70918"
"1998-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15234"
"1998-09","Polyvinyl chloride","units ","43495"
"1998-09","Polyesters, unsaturated","units ","7969"
"1998-09","Urea, all grades","units ","313987"
"1998-09","Phosphoric acid, wet process","units ",
"1998-09","Butadiene","units ","21240"
"1998-09","Butylene","units ","34808"
"1998-09","Propylene, as propylene in all grades","units ","83530"
"1998-09","Toluene","units ","16214"
"1998-09","Xylene","units ","30836"
"1998-09","Methyl alcohol (methanol)","units ",
"1998-09","Nitric acid, 100 %","units ","81631"
"1998-09","Aluminum sulphate (alum)","units ","18624"
"1998-09","Carbon black","units ","17852"
"1998-09","Hydrogen peroxide, 100%","units ","16845"
"1998-09","Zinc oxide","units ",
"1998-10","Hydrochloric (muriatic) acid, 100%","units ","11474"
"1998-10","Sulphuric acid, all grades, including oleum, as 100%","units ","368893"
"1998-10","Ammonia, anhydrous, 100%","units ","396393"
"1998-10","Ammonium nitrate, all grades","units ","81729"
"1998-10","Ammonium phosphate, all grades","units ",
"1998-10","Benzene","units ","52212"
"1998-10","Chlorine","units ","80249"
"1998-10","Ethylene","units ","332090"
"1998-10","Formaldehyde, 100% solids basis","units ","20005"
"1998-10","Sodium chlorate","units ","84787"
"1998-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","80621"
"1998-10","Polyethylene, total","units ","199513"
"1998-10","Polyethylene, low and linear low density","units ","124264"
"1998-10","Polyethylene, high density","units ","75249"
"1998-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15486"
"1998-10","Polyvinyl chloride","units ","44297"
"1998-10","Polyesters, unsaturated","units ","8056"
"1998-10","Urea, all grades","units ","306493"
"1998-10","Phosphoric acid, wet process","units ",
"1998-10","Butadiene","units ","20814"
"1998-10","Butylene","units ","25005"
"1998-10","Propylene, as propylene in all grades","units ","87123"
"1998-10","Toluene","units ","15064"
"1998-10","Xylene","units ","14811"
"1998-10","Methyl alcohol (methanol)","units ",
"1998-10","Nitric acid, 100 %","units ","73145"
"1998-10","Aluminum sulphate (alum)","units ","17572"
"1998-10","Carbon black","units ","18297"
"1998-10","Hydrogen peroxide, 100%","units ","17299"
"1998-10","Zinc oxide","units ",
"1998-11","Hydrochloric (muriatic) acid, 100%","units ","12168"
"1998-11","Sulphuric acid, all grades, including oleum, as 100%","units ","377876"
"1998-11","Ammonia, anhydrous, 100%","units ","365979"
"1998-11","Ammonium nitrate, all grades","units ","88299"
"1998-11","Ammonium phosphate, all grades","units ",
"1998-11","Benzene","units ","57379"
"1998-11","Chlorine","units ","79437"
"1998-11","Ethylene","units ","328607"
"1998-11","Formaldehyde, 100% solids basis","units ","17105"
"1998-11","Sodium chlorate","units ","85597"
"1998-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","80601"
"1998-11","Polyethylene, total","units ","187714"
"1998-11","Polyethylene, low and linear low density","units ","110284"
"1998-11","Polyethylene, high density","units ","77430"
"1998-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","11443"
"1998-11","Polyvinyl chloride","units ","47043"
"1998-11","Polyesters, unsaturated","units ","8319"
"1998-11","Urea, all grades","units ","255393"
"1998-11","Phosphoric acid, wet process","units ",
"1998-11","Butadiene","units ","24633"
"1998-11","Butylene","units ","25408"
"1998-11","Propylene, as propylene in all grades","units ","86412"
"1998-11","Toluene","units ","11172"
"1998-11","Xylene","units ","13644"
"1998-11","Methyl alcohol (methanol)","units ",
"1998-11","Nitric acid, 100 %","units ","84555"
"1998-11","Aluminum sulphate (alum)","units ","15948"
"1998-11","Carbon black","units ","16830"
"1998-11","Hydrogen peroxide, 100%","units ","17908"
"1998-11","Zinc oxide","units ",
"1998-12","Hydrochloric (muriatic) acid, 100%","units ","12445"
"1998-12","Sulphuric acid, all grades, including oleum, as 100%","units ","378915"
"1998-12","Ammonia, anhydrous, 100%","units ","414784"
"1998-12","Ammonium nitrate, all grades","units ","93839"
"1998-12","Ammonium phosphate, all grades","units ",
"1998-12","Benzene","units ","69306"
"1998-12","Chlorine","units ","82197"
"1998-12","Ethylene","units ","328337"
"1998-12","Formaldehyde, 100% solids basis","units ","18644"
"1998-12","Sodium chlorate","units ","92507"
"1998-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","82477"
"1998-12","Polyethylene, total","units ","193209"
"1998-12","Polyethylene, low and linear low density","units ","118363"
"1998-12","Polyethylene, high density","units ","74846"
"1998-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15201"
"1998-12","Polyvinyl chloride","units ","35792"
"1998-12","Polyesters, unsaturated","units ","6532"
"1998-12","Urea, all grades","units ","294716"
"1998-12","Phosphoric acid, wet process","units ",
"1998-12","Butadiene","units ","23358"
"1998-12","Butylene","units ","24157"
"1998-12","Propylene, as propylene in all grades","units ","88621"
"1998-12","Toluene","units ","20013"
"1998-12","Xylene","units ","16171"
"1998-12","Methyl alcohol (methanol)","units ",
"1998-12","Nitric acid, 100 %","units ","90018"
"1998-12","Aluminum sulphate (alum)","units ","19042"
"1998-12","Carbon black","units ","18508"
"1998-12","Hydrogen peroxide, 100%","units ","17070"
"1998-12","Zinc oxide","units ",
"1999-01","Hydrochloric (muriatic) acid, 100%","units ","12660"
"1999-01","Sulphuric acid, all grades, including oleum, as 100%","units ","381915"
"1999-01","Ammonia, anhydrous, 100%","units ","440069"
"1999-01","Ammonium nitrate, all grades","units ","78155"
"1999-01","Ammonium phosphate, all grades","units ",
"1999-01","Benzene","units ","70759"
"1999-01","Chlorine","units ","84206"
"1999-01","Ethylene","units ","318813"
"1999-01","Formaldehyde, 100% solids basis","units ","16775"
"1999-01","Sodium chlorate","units ","83606"
"1999-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","86181"
"1999-01","Polyethylene, total","units ","203713"
"1999-01","Polyethylene, low and linear low density","units ","121801"
"1999-01","Polyethylene, high density","units ","81912"
"1999-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15918"
"1999-01","Polyvinyl chloride","units ",
"1999-01","Polyesters, unsaturated","units ","7077"
"1999-01","Urea, all grades","units ","338890"
"1999-01","Phosphoric acid, wet process","units ",
"1999-01","Butadiene","units ","21081"
"1999-01","Butylene","units ","22031"
"1999-01","Propylene, as propylene in all grades","units ","86564"
"1999-01","Toluene","units ","25427"
"1999-01","Xylene","units ","17167"
"1999-01","Methyl alcohol (methanol)","units ",
"1999-01","Nitric acid, 100 %","units ","72743"
"1999-01","Aluminum sulphate (alum)","units ","14663"
"1999-01","Carbon black","units ","18704"
"1999-01","Hydrogen peroxide, 100%","units ","16705"
"1999-01","Zinc oxide","units ",
"1999-02","Hydrochloric (muriatic) acid, 100%","units ","13012"
"1999-02","Sulphuric acid, all grades, including oleum, as 100%","units ","352219"
"1999-02","Ammonia, anhydrous, 100%","units ","400377"
"1999-02","Ammonium nitrate, all grades","units ","81279"
"1999-02","Ammonium phosphate, all grades","units ",
"1999-02","Benzene","units ","71046"
"1999-02","Chlorine","units ","86420"
"1999-02","Ethylene","units ","299540"
"1999-02","Formaldehyde, 100% solids basis","units ","16410"
"1999-02","Sodium chlorate","units ","78165"
"1999-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","87781"
"1999-02","Polyethylene, total","units ","183740"
"1999-02","Polyethylene, low and linear low density","units ","113080"
"1999-02","Polyethylene, high density","units ","70660"
"1999-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15965"
"1999-02","Polyvinyl chloride","units ",
"1999-02","Polyesters, unsaturated","units ","8506"
"1999-02","Urea, all grades","units ","304782"
"1999-02","Phosphoric acid, wet process","units ",
"1999-02","Butadiene","units ","17702"
"1999-02","Butylene","units ","25024"
"1999-02","Propylene, as propylene in all grades","units ","83438"
"1999-02","Toluene","units ","29084"
"1999-02","Xylene","units ","20160"
"1999-02","Methyl alcohol (methanol)","units ",
"1999-02","Nitric acid, 100 %","units ","76171"
"1999-02","Aluminum sulphate (alum)","units ","15201"
"1999-02","Carbon black","units ","15682"
"1999-02","Hydrogen peroxide, 100%","units ","16691"
"1999-02","Zinc oxide","units ",
"1999-03","Hydrochloric (muriatic) acid, 100%","units ","14139"
"1999-03","Sulphuric acid, all grades, including oleum, as 100%","units ","404443"
"1999-03","Ammonia, anhydrous, 100%","units ","444516"
"1999-03","Ammonium nitrate, all grades","units ","88284"
"1999-03","Ammonium phosphate, all grades","units ",
"1999-03","Benzene","units ","77924"
"1999-03","Chlorine","units ","88591"
"1999-03","Ethylene","units ","321149"
"1999-03","Formaldehyde, 100% solids basis","units ","18533"
"1999-03","Sodium chlorate","units ","92564"
"1999-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","90880"
"1999-03","Polyethylene, total","units ","211618"
"1999-03","Polyethylene, low and linear low density","units ","132900"
"1999-03","Polyethylene, high density","units ","78718"
"1999-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15170"
"1999-03","Polyvinyl chloride","units ",
"1999-03","Polyesters, unsaturated","units ","9047"
"1999-03","Urea, all grades","units ","350469"
"1999-03","Phosphoric acid, wet process","units ",
"1999-03","Butadiene","units ","20361"
"1999-03","Butylene","units ","26195"
"1999-03","Propylene, as propylene in all grades","units ","97008"
"1999-03","Toluene","units ","24442"
"1999-03","Xylene","units ","17734"
"1999-03","Methyl alcohol (methanol)","units ",
"1999-03","Nitric acid, 100 %","units ","82438"
"1999-03","Aluminum sulphate (alum)","units ","17720"
"1999-03","Carbon black","units ","18836"
"1999-03","Hydrogen peroxide, 100%","units ","18630"
"1999-03","Zinc oxide","units ",
"1999-04","Hydrochloric (muriatic) acid, 100%","units ","12439"
"1999-04","Sulphuric acid, all grades, including oleum, as 100%","units ","353619"
"1999-04","Ammonia, anhydrous, 100%","units ","430515"
"1999-04","Ammonium nitrate, all grades","units ","96283"
"1999-04","Ammonium phosphate, all grades","units ",
"1999-04","Benzene","units ","62963"
"1999-04","Chlorine","units ","82424"
"1999-04","Ethylene","units ","341936"
"1999-04","Formaldehyde, 100% solids basis","units ","19028"
"1999-04","Sodium chlorate","units ","89035"
"1999-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","83423"
"1999-04","Polyethylene, total","units ","204088"
"1999-04","Polyethylene, low and linear low density","units ","130527"
"1999-04","Polyethylene, high density","units ","73561"
"1999-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","17654"
"1999-04","Polyvinyl chloride","units ",
"1999-04","Polyesters, unsaturated","units ","9251"
"1999-04","Urea, all grades","units ","321048"
"1999-04","Phosphoric acid, wet process","units ",
"1999-04","Butadiene","units ","21296"
"1999-04","Butylene","units ","27072"
"1999-04","Propylene, as propylene in all grades","units ","86887"
"1999-04","Toluene","units ","13261"
"1999-04","Xylene","units ","13088"
"1999-04","Methyl alcohol (methanol)","units ",
"1999-04","Nitric acid, 100 %","units ","95140"
"1999-04","Aluminum sulphate (alum)","units ","18037"
"1999-04","Carbon black","units ","17450"
"1999-04","Hydrogen peroxide, 100%","units ","18242"
"1999-04","Zinc oxide","units ",
"1999-05","Hydrochloric (muriatic) acid, 100%","units ","13308"
"1999-05","Sulphuric acid, all grades, including oleum, as 100%","units ","390776"
"1999-05","Ammonia, anhydrous, 100%","units ","460593"
"1999-05","Ammonium nitrate, all grades","units ","83557"
"1999-05","Ammonium phosphate, all grades","units ",
"1999-05","Benzene","units ","76508"
"1999-05","Chlorine","units ","88809"
"1999-05","Ethylene","units ","341627"
"1999-05","Formaldehyde, 100% solids basis","units ","17889"
"1999-05","Sodium chlorate","units ","85931"
"1999-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","90753"
"1999-05","Polyethylene, total","units ","212619"
"1999-05","Polyethylene, low and linear low density","units ","139128"
"1999-05","Polyethylene, high density","units ","73491"
"1999-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","18273"
"1999-05","Polyvinyl chloride","units ",
"1999-05","Polyesters, unsaturated","units ","9591"
"1999-05","Urea, all grades","units ","358985"
"1999-05","Phosphoric acid, wet process","units ",
"1999-05","Butadiene","units ","20971"
"1999-05","Butylene","units ","32284"
"1999-05","Propylene, as propylene in all grades","units ","88417"
"1999-05","Toluene","units ","27579"
"1999-05","Xylene","units ","23797"
"1999-05","Methyl alcohol (methanol)","units ",
"1999-05","Nitric acid, 100 %","units ","86406"
"1999-05","Aluminum sulphate (alum)","units ","18085"
"1999-05","Carbon black","units ","19145"
"1999-05","Hydrogen peroxide, 100%","units ","17000"
"1999-05","Zinc oxide","units ",
"1999-06","Hydrochloric (muriatic) acid, 100%","units ","12338"
"1999-06","Sulphuric acid, all grades, including oleum, as 100%","units ","335104"
"1999-06","Ammonia, anhydrous, 100%","units ","405013"
"1999-06","Ammonium nitrate, all grades","units ","91206"
"1999-06","Ammonium phosphate, all grades","units ",
"1999-06","Benzene","units ","63604"
"1999-06","Chlorine","units ","87783"
"1999-06","Ethylene","units ","264426"
"1999-06","Formaldehyde, 100% solids basis","units ","18995"
"1999-06","Sodium chlorate","units ","89432"
"1999-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","89109"
"1999-06","Polyethylene, total","units ","182195"
"1999-06","Polyethylene, low and linear low density","units ",
"1999-06","Polyethylene, high density","units ",
"1999-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","16143"
"1999-06","Polyvinyl chloride","units ",
"1999-06","Polyesters, unsaturated","units ","9881"
"1999-06","Urea, all grades","units ","312307"
