"Date","Good","Scale","Value"
"1959-08","Sulphuric acid, all grades, including oleum, as 100%","units ","119564"
"1959-08","Ammonia, anhydrous, 100%","units ","29464"
"1959-08","Ammonium sulphate","units ","23765"
"1959-08","Chlorine","units ","20050"
"1959-08","Fertilizers, mixed","units ","26616"
"1959-08","Formaldehyde, 100% solids basis","units ","2052"
"1959-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","3026"
"1959-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","23661"
"1959-09","Acetylene in cylinders or for delivery by pipeline","thousands","446"
"1959-09","Hydrochloric (muriatic) acid, 100%","units ","1567"
"1959-09","Sulphuric acid, all grades, including oleum, as 100%","units ","112869"
"1959-09","Ammonia, anhydrous, 100%","units ","30805"
"1959-09","Ammonium sulphate","units ","23161"
"1959-09","Chlorine","units ","21377"
"1959-09","Fertilizers, mixed","units ","47223"
"1959-09","Formaldehyde, 100% solids basis","units ","2423"
"1959-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","3102"
"1959-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","25168"
"1959-10","Acetylene in cylinders or for delivery by pipeline","thousands","490"
"1959-10","Hydrochloric (muriatic) acid, 100%","units ","1730"
"1959-10","Sulphuric acid, all grades, including oleum, as 100%","units ","126042"
"1959-10","Ammonia, anhydrous, 100%","units ","29472"
"1959-10","Ammonium sulphate","units ","25755"
"1959-10","Chlorine","units ","23495"
"1959-10","Fertilizers, mixed","units ","63499"
"1959-10","Formaldehyde, 100% solids basis","units ","2103"
"1959-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","3673"
"1959-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27855"
"1959-11","Acetylene in cylinders or for delivery by pipeline","thousands","465"
"1959-11","Hydrochloric (muriatic) acid, 100%","units ","1741"
"1959-11","Sulphuric acid, all grades, including oleum, as 100%","units ","120032"
"1959-11","Ammonia, anhydrous, 100%","units ","30263"
"1959-11","Ammonium sulphate","units ","23683"
"1959-11","Chlorine","units ","24171"
"1959-11","Fertilizers, mixed","units ","70374"
"1959-11","Formaldehyde, 100% solids basis","units ","2485"
"1959-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","3554"
"1959-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28335"
"1959-12","Acetylene in cylinders or for delivery by pipeline","thousands","445"
"1959-12","Hydrochloric (muriatic) acid, 100%","units ","1704"
"1959-12","Sulphuric acid, all grades, including oleum, as 100%","units ","127388"
"1959-12","Ammonia, anhydrous, 100%","units ","32375"
"1959-12","Ammonium sulphate","units ","24807"
"1959-12","Chlorine","units ","23198"
"1959-12","Fertilizers, mixed","units ","71099"
"1959-12","Formaldehyde, 100% solids basis","units ","2505"
"1959-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","3831"
"1959-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27754"
"1960-01","Acetylene in cylinders or for delivery by pipeline","thousands","414"
"1960-01","Hydrochloric (muriatic) acid, 100%","units ","1798"
"1960-01","Sulphuric acid, all grades, including oleum, as 100%","units ","139343"
"1960-01","Ammonia, anhydrous, 100%","units ","33245"
"1960-01","Ammonium sulphate","units ","23971"
"1960-01","Chlorine","units ","23005"
"1960-01","Fertilizers, mixed","units ","78215"
"1960-01","Formaldehyde, 100% solids basis","units ","2139"
"1960-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","4361"
"1960-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27696"
"1960-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1728"
"1960-02","Acetylene in cylinders or for delivery by pipeline","thousands","438"
"1960-02","Hydrochloric (muriatic) acid, 100%","units ","1493"
"1960-02","Sulphuric acid, all grades, including oleum, as 100%","units ","148959"
"1960-02","Ammonia, anhydrous, 100%","units ","29270"
"1960-02","Ammonium sulphate","units ","23824"
"1960-02","Chlorine","units ","22641"
"1960-02","Fertilizers, mixed","units ","81090"
"1960-02","Formaldehyde, 100% solids basis","units ","2139"
"1960-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","4308"
"1960-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","26442"
"1960-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1999"
"1960-03","Acetylene in cylinders or for delivery by pipeline","thousands","487"
"1960-03","Hydrochloric (muriatic) acid, 100%","units ","1684"
"1960-03","Sulphuric acid, all grades, including oleum, as 100%","units ","145611"
"1960-03","Ammonia, anhydrous, 100%","units ","37221"
"1960-03","Ammonium sulphate","units ","24920"
"1960-03","Chlorine","units ","24877"
"1960-03","Fertilizers, mixed","units ","100197"
"1960-03","Formaldehyde, 100% solids basis","units ","2355"
"1960-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","4770"
"1960-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","29595"
"1960-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2527"
"1960-04","Acetylene in cylinders or for delivery by pipeline","thousands","425"
"1960-04","Hydrochloric (muriatic) acid, 100%","units ","2032"
"1960-04","Sulphuric acid, all grades, including oleum, as 100%","units ","129025"
"1960-04","Ammonia, anhydrous, 100%","units ","37352"
"1960-04","Ammonium sulphate","units ","20645"
"1960-04","Chlorine","units ","24043"
"1960-04","Fertilizers, mixed","units ","73566"
"1960-04","Formaldehyde, 100% solids basis","units ","1788"
"1960-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","4364"
"1960-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28149"
"1960-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2326"
"1960-05","Acetylene in cylinders or for delivery by pipeline","thousands","452"
"1960-05","Hydrochloric (muriatic) acid, 100%","units ","1882"
"1960-05","Sulphuric acid, all grades, including oleum, as 100%","units ","135664"
"1960-05","Ammonia, anhydrous, 100%","units ","39012"
"1960-05","Ammonium sulphate","units ","25363"
"1960-05","Chlorine","units ","24197"
"1960-05","Fertilizers, mixed","units ","78323"
"1960-05","Formaldehyde, 100% solids basis","units ","2317"
"1960-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","3993"
"1960-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28108"
"1960-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2388"
"1960-06","Acetylene in cylinders or for delivery by pipeline","thousands","451"
"1960-06","Hydrochloric (muriatic) acid, 100%","units ","1876"
"1960-06","Sulphuric acid, all grades, including oleum, as 100%","units ","116014"
"1960-06","Ammonia, anhydrous, 100%","units ","31976"
"1960-06","Ammonium sulphate","units ","24297"
"1960-06","Chlorine","units ","24684"
"1960-06","Fertilizers, mixed","units ","29792"
"1960-06","Formaldehyde, 100% solids basis","units ","2424"
"1960-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","3920"
"1960-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28031"
"1960-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2308"
"1960-07","Acetylene in cylinders or for delivery by pipeline","thousands","376"
"1960-07","Hydrochloric (muriatic) acid, 100%","units ","1839"
"1960-07","Sulphuric acid, all grades, including oleum, as 100%","units ","118958"
"1960-07","Ammonia, anhydrous, 100%","units ","34351"
"1960-07","Ammonium sulphate","units ","20489"
"1960-07","Chlorine","units ","23254"
"1960-07","Fertilizers, mixed","units ","10339"
"1960-07","Formaldehyde, 100% solids basis","units ","2099"
"1960-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","3524"
"1960-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27211"
"1960-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2066"
"1960-08","Acetylene in cylinders or for delivery by pipeline","thousands","431"
"1960-08","Hydrochloric (muriatic) acid, 100%","units ","1794"
"1960-08","Sulphuric acid, all grades, including oleum, as 100%","units ","102884"
"1960-08","Ammonia, anhydrous, 100%","units ","34355"
"1960-08","Ammonium sulphate","units ","27234"
"1960-08","Chlorine","units ","22983"
"1960-08","Fertilizers, mixed","units ","32615"
"1960-08","Formaldehyde, 100% solids basis","units ","2430"
"1960-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","3766"
"1960-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27037"
