"Year","Commodity","Unit","Value"
"1960","Potatoes sweet fresh","Kilograms per person, per year","0.24"
"1960","Potatoes sweet, fresh equivalent","Kilograms per person, per year","0.24"
"1960","Potatoes white fresh and processed, fresh equivalent","Kilograms per person, per year","74.07"
"1960","Radishes fresh","Kilograms per person, per year","0.20"
"1960","Radishes fresh, fresh equivalent","Kilograms per person, per year","0.20"
"1960","Rutabagas and turnips fresh","Kilograms per person, per year","2.86"
"1960","Rutabagas and turnips fresh, fresh equivalent","Kilograms per person, per year","2.86"
"1960","Spinach fresh","Kilograms per person, per year","0.40"
"1960","Spinach fresh, fresh equivalent","Kilograms per person, per year","0.40"
"1960","Tomatoes fresh","Kilograms per person, per year","6.43"
"1960","Tomatoes fresh, fresh equivalent","Kilograms per person, per year","6.43"
"1960","Tomatoes canned","Kilograms per person, per year","2.63"
"1960","Tomatoes canned, fresh equivalent","Kilograms per person, per year","4.48"
"1960","Tomato juice","Kilograms per person, per year","4.47"
"1960","Tomato juice, fresh equivalent","Kilograms per person, per year","4.47"
"1960","Tomato juice","Litres per person, per year","4.47"
"1960","Tomatoes, pulp, paste and puree","Kilograms per person, per year","0.72"
"1960","Tomatoes, pulp, paste and puree, fresh equivalent","Kilograms per person, per year","3.89"
"1960","Vegetables not specified fresh","Kilograms per person, per year","0.03"
"1960","Vegetables not specified fresh, fresh equivalent","Kilograms per person, per year","0.03"
"1960","Vegetables not specified canned","Kilograms per person, per year","1.04"
"1960","Vegetables not specified canned, fresh equivalent","Kilograms per person, per year","1.36"
"1960","Vegetables not specified frozen","Kilograms per person, per year","0.47"
"1960","Vegetables not specified frozen, fresh equivalent","Kilograms per person, per year","0.69"
"1960","Wheat flour","Kilograms per person, per year","41.67"
"1960","Rye flour","Kilograms per person, per year","0.32"
"1960","Oatmeal and rolled oats","Kilograms per person, per year","1.21"
"1960","Pot and pearl barley","Kilograms per person, per year","0.05"
"1960","Corn flour and meal","Kilograms per person, per year","0.52"
"1960","Rice","Kilograms per person, per year","1.41"
"1960","Breakfast food","Kilograms per person, per year","2.15"
"1960","Sugar refined","Kilograms per person, per year","30.38"
"1960","Maple sugar","Kilograms per person, per year","0.21"
"1960","Honey","Kilograms per person, per year","0.57"
"1960","Dry beans","Kilograms per person, per year","0.59"
"1960","Baked and canned beans","Kilograms per person, per year","2.44"
"1960","Dry peas","Kilograms per person, per year","0.64"
"1960","Peanuts","Kilograms per person, per year","1.73"
"1960","Tree nuts","Kilograms per person, per year","0.47"
"1960","Tea","Litres per person, per year","0.00"
"1960","Cocoa, green bean equivalent","Kilograms per person, per year","1.10"
"1960","Ale, beer, stout and porter, total population","Litres per person, per year","55.08"
"1960","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","83.31"
"1960","Distilled spirits, total population","Litres per person, per year","3.62"
"1960","Distilled spirits, population 15 years old and over","Litres per person, per year","5.22"
"1960","Wines, total population","Litres per person, per year","1.94"
"1960","Wines, population 15 years old and over","Litres per person, per year","2.94"
"1960","Cheddar cheese","Kilograms per person, per year","1.05"
"1960","Processed cheese","Kilograms per person, per year","1.14"
"1960","Variety cheese","Kilograms per person, per year","0.47"
"1960","Cottage cheese","Kilograms per person, per year","0.40"
"1960","Powder skim milk","Kilograms per person, per year","2.19"
"1960","Powder buttermilk","Kilograms per person, per year","0.14"
"1960","Powder whey","Kilograms per person, per year","0.22"
"1960","Concentrated whole milk","Litres per person, per year","5.23"
"1960","Sweetened concentrated whole milk","Litres per person, per year","0.24"
"1960","Concentrated skim milk","Litres per person, per year","0.05"
"1960","Ice cream","Litres per person, per year","7.37"
"1960","Standard milk 3.25%","Litres per person, per year","51.24"
"1960","Buttermilk","Litres per person, per year",
"1960","Partly skimmed milk 2%","Litres per person, per year",
